Ticker,Model,Strategy,Year,Probability Up,Expected Return (%),Decision,Predicted,Actual,Actual Return (%),VaR (%),ES (%),Strategy Return (%)
KO,Historical Bootstrap,Probability + VaR,2024,0.6814,10.82598727962323,HOLD,63.564244496906795,54.81157684326172,-4.434526578806139,-19.005996640144566,-24.90655958838182,0.0
KO,Historical Bootstrap,Probability + VaR,2025,0.6547,8.980708643700952,HOLD,59.73404486257331,59.6774787902832,8.877507685896243,-20.626763293032628,-26.54341951054669,0.0
KO,Jump Diffusion,Expected Return,2016,0.7233,15.559419610371952,BUY,34.02769624289623,30.95953941345215,5.139836105415289,-19.694892094847177,-26.404880871370008,5.139836105415289
KO,Jump Diffusion,Expected Return,2017,0.72,15.727024313798196,BUY,35.8285537044457,30.848989486694336,-0.3570787190386228,-20.646032534994198,-27.376790879829038,-0.3570787190386228
KO,Jump Diffusion,Expected Return,2018,0.6735,12.693252894456874,BUY,34.76472973762486,35.28571701049805,14.382083814179206,-22.983070669061327,-29.434950277330252,14.382083814179206
KO,Jump Diffusion,Expected Return,2019,0.6604,11.644831135504234,BUY,39.39467917132244,37.67578887939453,6.77348250620896,-23.19015387612638,-29.51591511718047,6.77348250620896
KO,Jump Diffusion,Expected Return,2020,0.7268,12.251010387590545,BUY,42.29145368861584,45.4367790222168,20.59940978984217,-16.23234418985098,-22.03791849484186,20.59940978984217
KO,Jump Diffusion,Expected Return,2021,0.6439,7.2287915636606055,HOLD,48.721309070973916,46.558677673339844,2.46914212509316,-19.07759551977419,-24.593131815601826,0.0
KO,Jump Diffusion,Expected Return,2022,0.6403,9.472747762818342,HOLD,50.96906377103895,51.85356140136719,11.372495939804727,-23.097797498544157,-29.590283754227308,0.0
KO,Jump Diffusion,Expected Return,2023,0.6465,9.769385803981494,HOLD,56.91933586777118,57.35499954223633,10.609566618357844,-23.024000752948602,-29.384796132465762,0.0
KO,Jump Diffusion,Expected Return,2024,0.6222,9.189212890749317,HOLD,62.62547255366072,54.81157684326172,-4.434526578806139,-24.481669793931413,-30.665463809374206,0.0
KO,Jump Diffusion,Expected Return,2025,0.5861,6.670788580580591,HOLD,58.46794125215818,59.6774787902832,8.877507685896243,-25.831241178428215,-31.882469110715434,0.0
KO,Jump Diffusion,Probability,2016,0.7233,15.559419610371952,BUY,34.02769624289623,30.95953941345215,5.139836105415289,-19.694892094847177,-26.404880871370008,5.139836105415289
KO,Jump Diffusion,Probability,2017,0.72,15.727024313798196,BUY,35.8285537044457,30.848989486694336,-0.3570787190386228,-20.646032534994198,-27.376790879829038,-0.3570787190386228
KO,Jump Diffusion,Probability,2018,0.6735,12.693252894456874,HOLD,34.76472973762486,35.28571701049805,14.382083814179206,-22.983070669061327,-29.434950277330252,0.0
KO,Jump Diffusion,Probability,2019,0.6604,11.644831135504234,HOLD,39.39467917132244,37.67578887939453,6.77348250620896,-23.19015387612638,-29.51591511718047,0.0
KO,Jump Diffusion,Probability,2020,0.7268,12.251010387590545,BUY,42.29145368861584,45.4367790222168,20.59940978984217,-16.23234418985098,-22.03791849484186,20.59940978984217
KO,Jump Diffusion,Probability,2021,0.6439,7.2287915636606055,HOLD,48.721309070973916,46.558677673339844,2.46914212509316,-19.07759551977419,-24.593131815601826,0.0
KO,Jump Diffusion,Probability,2022,0.6403,9.472747762818342,HOLD,50.96906377103895,51.85356140136719,11.372495939804727,-23.097797498544157,-29.590283754227308,0.0
KO,Jump Diffusion,Probability,2023,0.6465,9.769385803981494,HOLD,56.91933586777118,57.35499954223633,10.609566618357844,-23.024000752948602,-29.384796132465762,0.0
